ISBN,DESCRIÇÃO,PREÇO,Desc 50%
9788574169545,CALLIS - FOI O COELHO - HISTORIAS DE SOFIA - 1ED - BR,"R$ 37,90","R$ 18,95"
9788574168289,CALLIS - FONETICA MORFOLOGIA - CRONICAS DA NORMA- 1ED,"R$ 35,90","R$ 17,95"
9788545400554,CALLIS - FUGA,"R$ 37,90","R$ 18,95"
9788598750743,"CALLIS - GABRIEL, O SUPER HEROI - 1ED - BR","R$ 42,90","R$ 21,45"
9788598750538,CALLIS - GRACILIANO RAMOS - A INFANCIA DE... - 2ED - B,"R$ 38,90","R$ 19,45"
9788574165653,CALLIS - GRECIA - ARTE NA IDADE ANTIGA - 1ED - BR,"R$ 49,90","R$ 24,95"
9788545400349,CALLIS - GUIDO VAI A ESCOLA - 1ED - BR,"R$ 42,90","R$ 21,45"
9788545400356,CALLIS - GUIDO VAI A FAZENDA - 1ED - BR,"R$ 42,90","R$ 21,45"
9786555960419,CALLIS - GUIDO VAI A PRAIA - 1ED - BR,"R$ 42,90","R$ 21,45"
9786555960426,CALLIS - GUIDO VAI AO ZOOLOGICO - 1ED - BR,"R$ 42,90","R$ 21,45"
9788545400332,"CALLIS - GUIDO, O GANSO - 1ED - BR","R$ 42,90","R$ 21,45"
9788585642266,CALLIS - HAYDN - CRIANCAS FAMOSAS - 1ED - BR,"R$ 32,90","R$ 16,45"
9788574165646,CALLIS - HINDUISMO - O QUE SABEMOS SOBRE - 2ED - BR,"R$ 44,90","R$ 22,45"
9788574164014,"CALLIS - HISTORIA ROCAMBOLESCA DE MADAME VALESCA, A -","R$ 42,90","R$ 21,45"
9788574164199,CALLIS - HISTORIAS QUE EU LI E GOSTO DE CONTAR - 2ED -,"R$ 37,90","R$ 18,95"
9788574165387,CALLIS - HISTORIAS QUE EU VIVI E GOSTO DE CONTAR - 2ED,"R$ 42,90","R$ 21,45"
9788545400547,CALLIS - HORDA - 1ED - BR,"R$ 45,90","R$ 22,95"
9788574169743,CALLIS - IGUAL A ELES - 1ED - BR,"R$ 35,90","R$ 17,95"
9786555960303,CALLIS - INFINITO,"R$ 42,90","R$ 21,45"
9788545400387,CALLIS - JORGE AMADO - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574165400,"CALLIS - JUNTA, SEPARA E GUARDA - 1ED - BR","R$ 42,90","R$ 21,45"
9788574169491,"CALLIS - KATHY KACER - DIARIO DA IRMA DE LAURA, O - 2E","R$ 45,90","R$ 22,95"
9788545400240,CALLIS - KATHY KACER - FUGA PARA XANGAI - BR - 1ED,"R$ 45,90","R$ 22,95"
9788574169521,"CALLIS - KATHY KACER - GUERRA DE CLARA, A - 2ED","R$ 45,90","R$ 22,95"
9788574169507,"CALLIS - KATHY KACER - REPORTERES CLANDESTINOS, OS - 2","R$ 45,90","R$ 22,95"
9788574169514,"CALLIS - KATHY KACER - SEGREDO DO ARMARIO DE GABI, O -","R$ 45,90","R$ 22,95"
9788574167794,"CALLIS - LAGARTA MUITO COMILONA, UMA - CARTONADO CALLI","R$ 64,90","R$ 32,45"
9788545400158,CALLIS - LAILA TINHA UMA SURPRESA - 1ED - BR,"R$ 42,90","R$ 21,45"
9788574169071,"CALLIS - LENDA DA VITORIA-REGIA, A - VO BETICA - 1ED -","R$ 45,90","R$ 22,95"
9788574164861,CALLIS - LEONARDO DA VINCI - ARTISTAS FAMOSOS - 2ED -,"R$ 42,90","R$ 21,45"
9788574164564,CALLIS - LEONARDO DA VINCI - CRIANCAS FAMOSAS - 2ED -,"R$ 32,90","R$ 16,45"
9788574164977,CALLIS - LEVANTE UM POUQUINHO POR FAVOR - 1ED - BR,"R$ 44,90","R$ 22,45"
9788545400073,"CALLIS - LIVRO SECRETO DO MEU TIO-AVO, O","R$ 45,90","R$ 22,95"
9788545400561,CALLIS - LUTA,"R$ 37,90","R$ 18,95"
9788574169330,"CALLIS - MACACA NA COZINHA, A - 3 ED - BR","R$ 35,90","R$ 17,95"
9788574164205,"CALLIS - MACACA VAI A FEIRA, A - 2ED - BR","R$ 35,90","R$ 17,95"
9788574169989,CALLIS - MACHADO DE ASSIS - BB - 2ED - BR,"R$ 34,90","R$ 17,45"
9788574168548,CALLIS - MAQUINAS DO TEMPO - 1ED - BR,"R$ 42,90","R$ 21,45"
9788545400615,CALLIS - MARIO QUINTANA - CRIANCAS FAMOSAS 1ED BR,"R$ 32,90","R$ 16,45"
9788574165059,"CALLIS - MATEMATICA NO MUSEU DE ARTE, A - 1ED - BR (TAN TAN  )","R$ 44,90","R$ 22,45"
9788574168500,CALLIS - MATISSE - ARTISTAS FAMOSOS - 2ED - BR,"R$ 42,90","R$ 21,45"
9788574163710,CALLIS - MAURICIO DE SOUSA - A INFANCIA DE... - 2ED -,"R$ 38,90","R$ 19,45"
9788574165189,"CALLIS - MENINO E O PARDAL, O - 2ED - BR","R$ 44,90","R$ 22,45"
9788545400523,"CALLIS - MERGULHOS DE RAFA, OS - 1ED - BR","R$ 42,90","R$ 21,45"
9788574164878,CALLIS - MICHELANGELO - ARTISTAS FAMOSOS - 2ED - BR,"R$ 42,90","R$ 21,45"
9788545400394,CALLIS - MICHELANGELO - CRIANCAS FAMOSAS - 2ED,"R$ 32,90","R$ 16,45"
9788574165110,CALLIS - MINHA MAO E UMA REGUA - TAN TAN - 2ED - BR,"R$ 44,90","R$ 22,45"
9788574166131,CALLIS - MINHA VIAGEM ARQUITETONICA COM O VOVO - 1ED - (TAN TAN),"R$ 44,90","R$ 22,45"
9788574160269,CALLIS - MIRO - ARTISTAS FAMOSOS - 1ED - BR,"R$ 42,90","R$ 21,45"
9788574169590,"CALLIS - MISTERIO DA ESCOLA, O - 1ED - BR","R$ 42,90","R$ 21,45"
9788545400585,CALLIS - MISTERIO DO CINEMA - 1ED - BR,"R$ 42,90","R$ 21,45"
9788574164915,CALLIS - MONET - ARTISTAS FAMOSOS - 2ED - BR,"R$ 42,90","R$ 21,45"
9788574164588,CALLIS - MONTEIRO LOBATO - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574164595,CALLIS - MOZART - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574168708,CALLIS - MUNDO DA MUSICA - VOL1 - INICIACAO MUSICAL,"R$ 49,90","R$ 24,95"
9788574168715,CALLIS - MUNDO DA MUSICA - VOL2 - ALFABETIZACAO MUSICA,"R$ 49,90","R$ 24,95"
9788574168722,CALLIS - MUNDO DA MUSICA - VOL3 - ALFABETIZACAO MUSICA,"R$ 49,90","R$ 24,95"
9788574164816,"CALLIS - MUNDO MAGICO DOS NUMEROS, O - TAN TAN - 2ED -","R$ 44,90","R$ 22,45"
9788545400738,"CALLIS - NARIZ DA VOVO, O - 2 ED - BR","R$ 52,90","R$ 26,45"
9788574160788,CALLIS - NINOS - BRAHMS - 1ED - BR,"R$ 32,90","R$ 16,45"
9788574163840,CALLIS - NO TEMPO DE MICHELANGELO - 2ED - BR,"R$ 45,90","R$ 22,95"
9788574165721,CALLIS - NO TEMPO DE PICASSO - 2ED - BR,"R$ 45,90","R$ 22,95"
9788574163703,CALLIS - NO TEMPO DE RENOIR - 2ED - BR,"R$ 45,90","R$ 22,95"
9788574163925,CALLIS - NO TEMPO DE WARHOL - 2ED - BR,"R$ 45,90","R$ 22,95"
9786555960501,CALLIS - O LIVRO,"R$ 42,90","R$ 21,45"
9786555960358,CALLIS - O POCO,"R$ 42,90","R$ 21,45"
9788545400004,"CALLIS - OCULOS MAGICOS DE CHARLOTTE, OS 1ED BR","R$ 35,90","R$ 17,95"
9788574169699,CALLIS - ONZE REIS - PRINCIPIA,"R$ 45,90","R$ 22,95"
9788574164793,CALLIS - OSWALD DE ANDRADE BB - 2ED - BR,"R$ 34,90","R$ 17,45"
9788574163581,CALLIS - PAISAGEM DE PASSAROS - TAN TAN - 1ED - BR,"R$ 44,90","R$ 22,45"
9788574163932,"CALLIS - PEQUENO COELHO BRANCO, O - 2ED - BR","R$ 44,90","R$ 22,45"
9788574164939,CALLIS - PICASSO - ARTISTAS FAMOSOS - 2ED - BR,"R$ 42,90","R$ 21,45"
9788574164601,CALLIS - PICASSO - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574164274,CALLIS - PLANETA SAUDAVEL ENERGIA,"R$ 42,90","R$ 21,45"
9788574169835,CALLIS - PODEMOS VOAR HOJE? - 1ED - BR,"R$ 42,90","R$ 21,45"
9788574164687,"CALLIS - POLUICAO, A - DE ONDE VEM, PARA ONDE VAI - 2E","R$ 36,90","R$ 18,45"
9788574169019,"CALLIS - PONTE, A - 1ED - BR","R$ 42,90","R$ 21,45"
9788574166124,CALLIS - POR DENTRO DA MUSICA - TAN TAN - 1ED - BR,"R$ 44,90","R$ 22,45"
9788574164724,"CALLIS - PORTA, A - JOGO DE PALAVRAS - 2ED - BR","R$ 29,90","R$ 14,95"
9788574164618,CALLIS - PORTINARI - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574164281,"CALLIS - PRINCESA QUE SALVAVA PRINCIPES, A - 1 ED - BR","R$ 37,90","R$ 18,95"
9788574163642,CALLIS - QUANDO MAMAE ERA PEQUENA - TAN TAN - 1ED - BR,"R$ 44,90","R$ 22,45"
9788574166148,CALLIS - QUEM SERA QUE TEM MAIS OVOS? - TAN TAN - 1ED,"R$ 44,90","R$ 22,45"
9788574164700,CALLIS - QUEM VAI FICAR COM O PESSEGO - TAN TAN - 2ED,"R$ 44,90","R$ 22,45"
9788574169736,CALLIS - QUER LER UM LIVRO COMIGO? - 1ED - BR,"R$ 42,90","R$ 21,45"
9788574168449,"CALLIS - RABO DO MACACO, O - 1ED - BR","R$ 42,90","R$ 21,45"
9788545400509,CALLIS - REFUGIO - 1ED - BR,"R$ 58,90","R$ 29,45"
9788574165677,CALLIS - ROMA - ARTE NA IDADE ANTIGA - 1ED - BR,"R$ 49,90","R$ 24,95"
9788545400899,CALLIS - ROUBO NO CASARAO - 1ED - BR,"R$ 42,90","R$ 21,45"
9788574163598,"CALLIS - SAIA DA VOVO, A - TAN TAN - 1ED - BR","R$ 44,90","R$ 22,45"
9788574164625,CALLIS - SANTOS-DUMONT - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574164632,CALLIS - SCHUBERT - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788574169927,"CALLIS - SE EU NAO FOSSE, EU SERIA - 1ED - BR","R$ 35,90","R$ 17,95"
9788574163536,CALLIS - SEPARANDO AS COISAS -TAN TAN - 1ED - BR,"R$ 44,90","R$ 22,45"
9788574165042,"CALLIS - SEXTO ANIVERSARIO, O - TAN TAN - 1ED - BR","R$ 44,90","R$ 22,45"
9788574165561,CALLIS - SIMPLESMENTE LER - 1ED - BR,"R$ 36,90","R$ 18,45"
9788574168296,CALLIS - SINTAXE - CRONICAS DA NORMA- 1ED - BR,"R$ 35,90","R$ 17,95"
9788545400684,"CALLIS - SONHA, ZE - 3ED - BR","R$ 38,90","R$ 19,45"
9788574165028,"CALLIS - SONHO DE DAM-DAM E DO SR. GOM-GOM, O - 1ED -","R$ 44,90","R$ 22,45"
9788563556073,CALLIS - SONHO DE NEVE - 1ED - CD,"R$ 58,90","R$ 29,45"
9788574165523,CALLIS - SOPA DE BRUXA - TAN TAN - 2ED - BR,"R$ 44,90","R$ 22,45"
9788545400790,CALLIS - TARSILA DO AMARAL - A INFANCIA DE... - 3ED -,"R$ 38,90","R$ 19,45"
9788574165356,CALLIS - TATIANA BELINKY - A INFANCIA DE - 1ED- BR,"R$ 38,90","R$ 19,45"
9788574164656,CALLIS - TCHAIKOVSKY - CRIANCAS FAMOSAS - 2ED - BR,"R$ 32,90","R$ 16,45"
9788545400967,CALLIS - TEM UM PORCO NA MINHA CASA 1ED BR,"R$ 42,90","R$ 21,45"
9788574164991,"CALLIS - TEMPO VOA PAPAI, O - TAN TAN - 1ED - BR","R$ 44,90","R$ 22,45"
