"FESTA VIRTUALDO LIVRO DA USP 2021Lista de títulos",,,
TÍTULO,AUTOR(A),"PREÇODE CAPA","PREÇOCOM DESCONTO"
BRASIL: QUE EDUCAÇÃO PARA QUE PAIS?,"Hércules Pimenta dos Santos, Raquel Menezes Pacheco (Or",".)R$ 35,00","R$ 17,50"
CADA TRIDENTE EM SEU LUGAR,Cidinha da Silva,"R$ 35,00","R$ 17,50"
CADARCOS DESAMARRADOS,Madu Costa,"R$ 30,00","R$ 15,00"
A CANETA E O PAPEL,Gustavo Porto Ribeiro,"R$ 30,00","R$ 15,00"
CÉU AZUL,Eliene Nery,"R$ 20,00","R$ 10,00"
CHAPEUZINHO VERMELHO E O BOTO-COR-DE-ROSA,Cristina Agostinho; Ronaldo Simões Coelho,"R$ 40,00","R$ 20,00"
CHEIRINHO DE NENÉM,Patricia Santana,"R$ 35,00","R$ 17,50"
CHICO JUBA,Gustavo Gaivota,"R$ 35,00","R$ 17,50"
CINDERELA E CHICO REI,Cristina Agostinho; Ronaldo Simões Coelho,"R$ 40,00","R$ 20,00"
CIPOTÂNEA,José Geraldo Heleno,"R$ 30,00","R$ 15,00"
CLÁSSICOS DA EDUCACAO BRASILEIRA VOL 04,Ana Amélia Borges;Cleide Maria Maciel (Orgs.),"R$ 40,00","R$ 20,00"
CLÁSSICOS DA EDUCACAO BRASILEIRA VOL 02,Juliana Cesário Hamdan; Maria do Carmo Xavier (Orgs.),"R$ 35,00","R$ 17,50"
CLÁSSICOS DA EDUCACAO BRASILEIRA VOL 03,Ilka Miglio de Mesquita; Rosana Areal de Carvalho (Orgs.),"R$ 35,00","R$ 17,50"
COLEÇÃO ARTISTA MIRIM COMPLETO,Thiago Amormino (ilustrações),"R$ 20,00","R$ 10,00"
COLEÇÃO GRIOT MIRIM (LIVRO DO PROFESSOR),Mara Catarino Evaristo,"R$ 15,00","R$ 7,50"
CONSCIÊNCIA NEGRA DO BRASIL,Luiz Silva; Maria das Dores Fernandes (Orgs.),"R$ 35,00","R$ 17,50"
CONTANDO A HISTÓRIA DO SAMBA,Elzelina Dóris; Marcos Cardoso; Edinéia Lopes,"R$ 40,00","R$ 20,00"
CONTOS CRESPOS,Cuti,"R$ 40,00","R$ 20,00"
CONTOS DE MIRÁBILE,Édimo de Almeida Pereira,"R$ 35,00","R$ 17,50"
COR E ASCENSÃO PROFISSIONAL,Andréa Alcione de Souza,"R$ 45,00","R$ 22,50"
CORVO-CORREIO,Isabel Cintra,"R$ 35,00","R$ 17,50"
CRER-SENDO,Brisa,"R$ 35,00","R$ 17,50"
"CRIANÇAS, PROFESSORAS E FAMÍLIAS: OLHARES SOBRE A EDUCAÇÃO INFANTIL",Isabel Silva. Iza Luz; Maria Inês Goulart,"R$ 50,00","R$ 25,00"
"DANCA NEGRO, GINGA A HISTORIA",Maria Zita Ferreira,"R$ 30,00","R$ 15,00"
DECIFRANDO UM ENIGMA CHAMADO BRASIL,João Gilberto Parenti Couto,"R$ 25,00","R$ 12,50"
DESMINERAÇÃO,Euler Cruz,"R$ 35,00","R$ 17,50"
DIÁLOGOS ENTRE SUJEITOS: PRÁTICAS E CONHECIMENTOS,Shirley Aparecida Miranda; Nilma Lino Gomes,"R$ 45,00","R$ 22,50"
DIÁLOGOS COM A JUVENTUDE PRESENTES NA EJA,Analise da Silva,"R$ 45,00","R$ 22,50"
DO ENSINO NORMAL DEP. DA EFIC. DO ENS.PRIMÁRIO,Andrea Moreno; Tarcísio Moura Vago,"R$ 40,00","R$ 20,00"
DOIS NÓS NA NOITE E OUTRAS PEÇAS DE TEATRO NEGRO-BRASILEIRO,Cuti,"R$ 45,00","R$ 22,50"
DONA BRÍGIDA,Sonia Rosa,"R$ 35,00","R$ 17,50"
"EDUCAÇÃO, HISTÓRIA E PROBLEMAS: COR E PRECONCEITO EM DISCUSSÃO",Wilma de Nazaré Baía Coelho,"R$ 40,00","R$ 20,00"
EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS,Rosa Margarida de Carvalho Rocha,"R$ 45,00","R$ 22,50"
EDUCAÇÃO E DIREITO À EDUCAÇÃO NO BRASIL,Carlos Roberto Jamil Cury,"R$ 25,00","R$ 12,50"
EDUCAÇÃO E EMPREENDEDORISMO SOCIAL: UM ENCONTRO QUE TRANSFORMA CI,AMDaAriOa SF lávia Bastos,"R$ 40,00","R$ 20,00"
EDUCAÇÃO FÍSICA NA ESCOLA,Tarcísio Mauro Vago,"R$ 40,00","R$ 20,00"
EDUCAÇÃO PARA SURDOS: POSSIBILIDADES E DESAFIOS,Dayse Garcia Miranda; Luciana Freitas (Orgs.),"R$ 45,00","R$ 22,50"
ENTÃO DEIXA CHOVER,Fátima Oliveira,"R$ 40,00","R$ 20,00"
ENTRE BRASIL E ÁFRICA,Petronilha Beatriz Gonçalves e Silva,"R$ 35,00","R$ 17,50"
ENTRE NEGROS E MESTIÇOS,Cristina Carla Sacramento,"R$ 25,00","R$ 12,50"
ENTREMEIO SEM BABADO,Patricia Santana,"R$ 35,00","R$ 17,50"
ERA SÓ BRINCADEIRINHA!,Cida Chagas,"R$ 40,00","R$ 20,00"
ÉRAMOS DOIS...,Danilo Oliveira,"R$ 70,00","R$ 35,00"
ESPERA O CÉU AZUL,Angélica Sátiro,"R$ 30,00","R$ 15,00"
EXERCÍCIO DO RESPEITO,Maria Lúcia Pellegrinelli,"R$ 40,00","R$ 20,00"
FAZER FILOSOFIA COM O CORPO NA RUA,Renata Lima Aspis,"R$ 45,00","R$ 22,50"
FLOR E ROSA,Benilda Regina,"R$ 25,00","R$ 12,50"
FLORES DE ÉBANO,Alexandra Lima da Silva,"R$ 35,00","R$ 17,50"
FOLCLORE POETICO EM POMPÉU,Edméia Faria,"R$ 30,00","R$ 15,00"
"GABRIELA, A PRINCESA DO DAOMÉ",Martha Rodrigues,"R$ 35,00","R$ 17,50"
HISTÓRIAS DA NOSSA GENTE (C/ DVD),Sandra Lane,"R$ 40,00","R$ 20,00"
HISTORIAS DE EDUCACAO FISICA NA ESCOLA,Tarcísio Mauro Vago,"R$ 35,00","R$ 17,50"
HISTÓRIAS DO TIO JIMBO,Nei Lopes,"R$ 35,00","R$ 17,50"
IMAGENS DO JEQUITINHONHA,Carolina Antunes; Nazaré Serra,"R$ 40,00","R$ 20,00"
IMAGENS NEGRAS,Maria de Lourdes Siqueira,"R$ 35,00","R$ 17,50"
ISRAEL E PALESTINA,Regina Capanema de Almeida,"R$ 30,00","R$ 15,00"
JOÃO CONGO: O PRÍNCIPE DA FLORESTA,Valdelice Neves,"R$ 45,00","R$ 22,50"
JOÃOZINHO E MARIA,Cristina Agostinho; Ronaldo Simões Coelho,"R$ 40,00","R$ 20,00"
JUVENTUDE NEGRA NA EJA: O DIREITO À DIFERENÇA,Natalino Neves da Silva,"R$ 45,00","R$ 22,50"
KIZOMBA DE VENTO E NUVEM,Cuti,"R$ 40,00","R$ 20,00"
KOUMBA E O TAMBOR DIAMBÊ,Madu Costa,"R$ 20,00","R$ 10,00"
LEITE DO PEITO,Geni Guimarães,"R$ 40,00","R$ 20,00"
LIVRO DE FALAS,Edimilson de Almeida Pereira,"R$ 30,00","R$ 15,00"
MÃE DINHA,Madu Galdino,"R$ 20,00","R$ 10,00"
MATILDE,Eliene Nery,"R$ 30,00","R$ 15,00"
MEIA CURTA,Andreza Félix,"R$ 35,00","R$ 17,50"
MENINAS NEGRAS,Madu Costa,"R$ 20,00","R$ 10,00"
METODOLOGIAS DE PESQUISAS PÓS-CRÍTICAS EM EDUCAÇÃO,Dagmar Estermann Meyer; Marlucy Alves Paraíso,"R$ 45,00","R$ 22,50"
MEU PEQUENO BESTIÁRIO,Verônica Mendes Pereira,"R$ 35,00","R$ 17,50"
MÍDIA E RACISMO,Rosália Diogo,"R$ 35,00","R$ 17,50"
MINHA MÃE É NEGRA SIM!,Patricia Santana,"R$ 20,00","R$ 10,00"
MIZU E A ESTRELA,Margarida Cristina Vasques,"R$ 35,00","R$ 17,50"
MODERNO MODERNIDADE  MODERNIZAÇÃO VOL 2,Ione Ribeiro; Juliana Hamdan; Maria das Dores Daros,"R$ 50,00","R$ 25,00"
MODERNO MODERNIDADE MODERNIZAÇÃO VOL 3,Ilka Miglio; Raylane Barreto; Vera Lúcia Nogueira,"R$ 50,00","R$ 25,00"
MULHERES DE DOIS ANDARES,Cida Chaves,"R$ 40,00","R$ 20,00"
NAS DOBRAS DE CLIO,Ilka Miglio; Rosana Areal; Luciano Mendes,"R$ 45,00","R$ 22,50"
NASSYSIM,Maria de Lourdes Siqueira,"R$ 45,00","R$ 22,50"
NEGRAS (IN)CONFIDÊNCIAS,Benilda Brito e Valdecir Nascimento,"R$ 40,00","R$ 20,00"
NEGRISMO,Luiz Henrique Silva de Oliveira,"R$ 45,00","R$ 22,50"
"NEGRITUDE,CINEMA E EDUCACAO - VOL. 1",Edileuza Penha de Souza,"R$ 45,00","R$ 22,50"
"NEGRITUDE,CINEMA E EDUCACAO - VOL. 2",Edileuza Penha de Souza,"R$ 45,00","R$ 22,50"
NEGRITUDE CINEMA E EDUCAÇÃO - VOL. 3,Edileuza Penha de Souza,"R$ 45,00","R$ 22,50"
NEGROESIA,Cuti,"R$ 40,00","R$ 20,00"
NEGROS EM CONTOS,Cuti,"R$ 40,00","R$ 20,00"
NIKKÈ,Édimo de Almeida Pereira,"R$ 30,00","R$ 15,00"
NOVATO,Eliene Nery,"R$ 35,00","R$ 17,50"
