"Peirópolis e Grão EditoraLista de Preços - FESTA DO LIVRO DA USP - 2021",,,,
ISBN,Título,Autores,Preço Capa,
9788575962176,Cuidar bem das crianças - Brinquedos e brincadeiras com o corpo em movimento,Adelsin,"R$       21,00","R$    10,50"
9788575963333,"Cultura de Paz: o que os indivíduos, grupos, escolas e organizações podem fazer pela pazno mundo - 2a edição - revista e ampliada",Cristina Von,"R$       48,00","R$    24,00"
9788575962428,"Curupira, O Guardião da Floresta",Marlene Crespo,"R$       37,00","R$    18,50"
9788575963449,De onde vem o Português?,Susana Ventura |  Silvia Amstalden,"R$       36,00","R$    18,00"
9788575963272,De roda em roda: brincando e cantando o Brasil (audios online),Teca Alencar de Brito,"R$       67,00","R$    33,50"
9788575961834,Demônios em quadrinhos,Aluísio Azevedo por Guazzelli,"R$       49,00","R$    24,50"
9788575961919,"Desejo, logo realizo: a saúde plena depende de nós",Dr. Roberto Zeballos,"R$       41,00","R$    20,50"
9788575963432,Desequilibristas,Manu Maltez,"R$       55,00","R$    27,50"
9788575961971,Dez contos do além-mar,"Adolfo Coelho | Téofilo Braga | Ana Carolina Carvalho(org.)","R$       35,00","R$    17,50"
9788575965566,Dinos do Brasil (nova edição brochura),Luiz Eduardo Anelli | Felipe Alves Elias,"R$       56,00","R$    28,00"
9788575963814,Dinossauros e outros monstros: uma viagem à pré-história do Brasil,Luiz Eduardo Anelli | Felipe Alves Elias,"R$       83,00","R$    41,50"
9788575963340,"Divergente Positivo, Liderança em sustentabilidade em um mundo perverso, O",Sara Parkin,"R$       46,00","R$    23,00"
9788575962299,"Divina Comédia em quadrinhos, A","Dante Alighieri por Piero e Giuseppe Bagnariol |Haroldo de Campos, Henriqueta Lisboa e JorgeWanderley (org.)","R$       56,00","R$    28,00"
9788575960288,Dom Quixote em quadrinhos,Miguel de Cervantes por Caco Galhardo,"R$       45,00","R$    22,50"
9788575963128,Dom Quixote em quadrinhos - vol.2,Miguel de Cervantes por Caco Galhardo,"R$       56,00","R$    28,00"
9788575963012,"Enquanto meu Cabelo Crescia, pequena novela sobre cortes, penteados, tinturas e outrosmilagres",Isabel Minhós Martins,"R$       44,00","R$    22,00"
9788575960271,Era uma vez um abacateiro,Alaíde Lisboa,"R$       32,00","R$    16,00"
9788575963173,"Escritório é escola, Inclusão social no mundo do trabalho, O",Graziela Bedoian (org.),"R$       34,00","R$    17,00"
9788575963746,Este livro está te chamando! (não ouve?),Isabel Minhós Martins | Madalena Matoso,"R$       48,00","R$    24,00"
9788575963326,Este não é um livro de princesas,Blandina Franco | José Carlos Lollo,"R$       44,00","R$    22,00"
"",Estive no fim do mundo e me lembrei de você,Regina Azevedo,Prelo,
