"",,,,,"Lista delivros FestaVirtual dolivro da USP2021",
"",,,,,,
Título,ISBN,Autor,Preço Capa,Desc,,Preço com d
ESCUTA,,,,,,
Psicanálise E Medicina,9788571372733,Durval Mazzei Nogueira Filho,"R$        43,00",50%,"R$          21,50"
"Formacao Do Analista, A",9788571374430,MONICA PORTUGAL,"R$       74,00",50%,"R$          37,00"
Psicanálise Elementos Para Clínica Contemporanea,9788571372139,Luís Claudio Figueiredo,"R$        81,00",50%,"R$          40,50"
Culpa,9788571371743,Urania T. Peres,"R$        94,00",50%,"R$          47,00"
Casal E Família Como Paciente,9788571370784,Magdalena Ramos,"R$      103,00",50%,"R$          51,50"
Memória E Exílio,9788571372177,Sybil Safdie Douek,"R$       95,00",50%,"R$          47,50"
Pluralismo Psicanálitico,9788510003421,ESCUTA,"R$      115,00",50%,"R$          57,50"
Psicanálise Na Uti,9788571373563,Fernanda Sofio,"R$        43,00",50%,"R$          21,50"
Driblando A Perversão,9788571371941,Claudio Bastidas,"R$        63,43",50%,"R$          31,72"
"Inconsciente, O",9788571370296,Luiz Tarlei De Aragão,"R$        76,00",50%,"R$          38,00"
"Psicanálise e Psicossomática: Casos Clínicos, Construções",9788571373730,Ana Maria Soares,"R$      103,00",50%,"R$          51,50"
"Relação Entre O Psicanalista E Suas Teorias, A",9788571373570,Camila Munhoz,"R$        50,00",50%,"R$          25,00"
Limiares do Contemporâneo,9788571370609,Rogério da Costa,"R$       40,00",50%,"R$          20,00"
Freud Na Filosofia Brasileira,9788571372405,Leopoldo Fulgencio,"R$      118,00",50%,"R$          59,00"
Novas Fronteiras Da Clínica Psicanalítica De Casal E Família,9788571373914,Maria Inês Assumpção Fernand,"sR$        62,00",50%,"R$          31,00"
"Espírito Da Coisa: Um Cálculo De Graça, Do",9788571372801,Karin de Paula,"R$        76,00",50%,"R$          38,00"
Sobre o Valor das Últimas Contribuições de Bion e Outros Estudos,9 17 8e 82571373389,Vários autores,"R$      115,00",50%,"R$          57,50"
Olho Dagua,9788571370876,João A. Frayze-Pereira,"R$        77,00",50%,"R$          38,50"
Rede Clínica,9788571374041,Beatriz Helena Martins de Alm,"idRa$       93,00",50%,"R$          46,50"
Peter e o Adoecer Silencioso: Psicanálise e Câncer,9788571374324,ANDREA CHIARELLA,"R$        49,00",50%,"R$          24,50"
Tpm,9788571372252,Juçara Rocha Soares Mapurung,"R$        76,00",50%,"R$          38,00"
Seminário de Leitura de Texto Ano 2006 - 2007 : A Angústia,9788571373242,Colette Soler,"R$       68,00",50%,"R$          34,00"
"Gêmeos, Subjetividade E Narcisismo",9788571372856,Ilcéa Sônia Maria de Andrade,"orRb$a  M   a  r 5q0u,e0z0",50%,"R$          25,00"
"Escrita no Limiar do Sentido, A",9788571372627,MARTENDAL,"R$       53,00",50%,"R$          26,50"
Freud e o Problema do Poder,9788571370166,ROZITCHER,"R$       78,00",50%,"R$          39,00"
Teorizando Sobre Fundamentos Básicos Da Psicanálise,9788571374201,Osvaldo Marba Ribeiro,"R$       48,00",50%,"R$          24,00"
"Árvores De Conhecimentos, As",9788571370920,Michel Authier,"R$       77,00",50%,"R$          38,50"
Depressão,9788571371408,Pierre Fédida,"R$        53,00",50%,"R$          26,50"
Por uma ( Nova ) Psicopatologia da Infância e da Adolescência,9788571373648,Michele Kamers,"R$       97,00",50%,"R$          48,50"
Wittgenstein No Brasil,9788571372689,Darlei Dall'Agnol,"R$      123,00",50%,"R$          61,50"
Psicanálise Invenções Controversias,9788571374195,Osvaldo Marba Ribeiro,"R$       43,00",50%,"R$          21,50"
Traumas,9788571372504,Ana Maria Rudge,"R$        77,00",50%,"R$          38,50"
"Clínica Específica Com Casais, Uma",9788571372603,Isabel Cristina Gomes,"R$        51,00",50%,"R$          25,50"
Fantasia De Brasil,9788571370838,Octavio Souza,"R$       81,00",50%,"R$          40,50"
Rumo a uma Nova Epistemologia da Psiquiatria,9788571373754,German E. Berrios,"R$      123,00",50%,"R$          61,50"
Adolescentes,9788571372467,Marta Rezende Cardoso,"R$        85,00",50%,"R$          42,50"
Dor,9788571371491,Manoel Tosta Berlinck,"R$       51,00",50%,"R$          25,50"
"Psicologia Tem Paradigmas?, A",9788571373846,Iray Carone,"R$        56,00",50%,"R$          28,00"
Arte e Psique: Um Poder sem Majestade,9788571374515,Luiz Palma,"R$        60,00",50%,"R$          30,00"
Assassinatos De Almas,9788571373877,Paulo Márcio de Castro Ribeiro,"R$       80,00",50%,"R$          40,00"
"Crianças Públicas, Adultos Privados",9788571373990,Rinaldo Voltolini,"R$       64,00",50%,"R$          32,00"
Descobrindo O Impensado,9788571373266,José Calderoni,"R$        60,00",50%,"R$          30,00"
Imigrantes,9788571370562,Charles Melman,"R$        44,00",50%,"R$          22,00"
Afeto E Linguagem Nos Primeiros Escritos De Freud,9788571370661,Monique Schneider,"R$        42,00",50%,"R$          21,00"
Imperativos Do Supereu,9788571372481,Marta Gerez Ambertín,"R$      118,00",50%,"R$          59,00"
Isaías Melsohn: A Psicanálise e a Vida,9788571371095,Bela M. Sister,"R$       95,00",50%,"R$          47,50"
Transferências,9788571370395,Elias Mallet da Rocha Barros,"R$       70,00",50%,"R$          35,00"
"Clínica Da Constituição Do Laço, A",9788571374188,Eloisa Tavares de Lacerda,"R$        73,00",50%,"R$          36,50"
Conexões Virtuais,9788571374010,Cibele Prado Barbieri,"R$       78,00",50%,"R$          39,00"
Tausk e o Aparelho de Influenciar na Psicose,9788571370241,Joel Birman,"R$        55,00",50%,"R$          27,50"
Voluntariado,9788571372979,Rachele Ferrari,"R$       66,00",50%,"R$          33,00"
"Pintura Encarnada, A",9788571373235,Georges Didi-Huberman,"R$        79,00",50%,"R$          39,50"
Narcisismos,9788571372658,Oscar M. Miguelez,"R$        64,00",50%,"R$          32,00"
Psicopatologia Psicanalítica e Outros Estudos,9780000432544,Vários autores,"R$      115,00",50%,"R$          57,50"
"Caverna dos Duplos, Na",9788571373693,Maria Inês Giora,"R$       62,00",50%,"R$          31,00"
Hipocondria,9788571371927,AISENSTEIN/PRAGIER,"R$        82,00",50%,"R$          41,00"
